School,School URL,District,District URL,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Lewisville High School,https://www.schooldigger.com/go/TX/schools/2730003072/school.aspx,Lewisville Independent School District,https://www.schooldigger.com/go/TX/district/27300/search.aspx,Lewisville,https://www.schooldigger.com/go/TX/city/Lewisville/search.aspx,75067,Denton,(469) 713-5190,10,12,Yes,No,No,No,1987,118,16.8,0.5,0.18,0,0.07,0.45,0,0.02,0.28,48.6
De Leon High School,https://www.schooldigger.com/go/TX/schools/1644001405/school.aspx,De Leon Independent School District,https://www.schooldigger.com/go/TX/district/16440/search.aspx,De Leon,https://www.schooldigger.com/go/TX/city/De+Leon/search.aspx,76444,Comanche,(254) 893-8240,9,12,Yes,No,No,No,174,18,9.6,0.5,0.01,0.01,0,0.31,0,0.01,0.67,48.5
Covington School,https://www.schooldigger.com/go/TX/schools/1548001121/school.aspx,Covington Independent School District,https://www.schooldigger.com/go/TX/district/15480/search.aspx,Covington,https://www.schooldigger.com/go/TX/city/Covington/search.aspx,76636,Hill,(254) 854-2215,PK,12,Yes,No,No,Yes,297,22,13.5,0.48,0.01,0.01,0,0.11,0,0.03,0.84,48.4
Hale Center High School,https://www.schooldigger.com/go/TX/schools/2205002219/school.aspx,Hale Center Independent School District,https://www.schooldigger.com/go/TX/district/22050/search.aspx,Hale Center,https://www.schooldigger.com/go/TX/city/Hale+Center/search.aspx,79041,Hale,(806) 839-2452,9,12,Yes,No,No,No,177,16,11,0.68,0.02,0,0.01,0.68,0,0.02,0.27,48.4
Normangee High School,https://www.schooldigger.com/go/TX/schools/3291003626/school.aspx,Normangee Independent School District,https://www.schooldigger.com/go/TX/district/32910/search.aspx,Normangee,https://www.schooldigger.com/go/TX/city/Normangee/search.aspx,77871,Leon,(936) 396-6111,9,12,Yes,No,No,No,173,15,11.5,0.37,0.07,0,0,0.09,0,0.03,0.81,48.3
McAllen High School,https://www.schooldigger.com/go/TX/schools/2967003339/school.aspx,McAllen Independent School District,https://www.schooldigger.com/go/TX/district/29670/search.aspx,McAllen,https://www.schooldigger.com/go/TX/city/McAllen/search.aspx,78501,Hidalgo,(956) 632-3100,9,12,Yes,No,No,Yes,2207,152,14.5,0.58,0,0,0.02,0.92,0,0,0.06,48.2
Quanah High School,https://www.schooldigger.com/go/TX/schools/3618004067/school.aspx,Quanah Independent School District,https://www.schooldigger.com/go/TX/district/36180/search.aspx,Quanah,https://www.schooldigger.com/go/TX/city/Quanah/search.aspx,79252,Hardeman,(940) 663-2791,9,12,Yes,No,No,Yes,137,20,6.8,0.69,0.03,0.01,0.01,0.31,0,0.04,0.61,48.2
Greenville High School,https://www.schooldigger.com/go/TX/schools/2172002189/school.aspx,Greenville Independent School District,https://www.schooldigger.com/go/TX/district/21720/search.aspx,Greenville,https://www.schooldigger.com/go/TX/city/Greenville/search.aspx,75402,Hunt,(903) 457-2550,9,12,Yes,No,No,Yes,1077,90,11.9,0.59,0.17,0.01,0.01,0.41,0,0.03,0.38,48.2
Jean Massieu Academy,https://www.schooldigger.com/go/TX/schools/0009808169/school.aspx,Jean Massieu Academy,https://www.schooldigger.com/go/TX/district/00098/search.aspx,Arlington,https://www.schooldigger.com/go/TX/city/Arlington/search.aspx,76011,Tarrant,(817) 460-0396,PK,12,Yes,Yes,No,Yes,193,15,12.8,0.94,0.23,0,0,0.64,0.01,0.02,0.11,48.2
Bangs High School,https://www.schooldigger.com/go/TX/schools/0939000398/school.aspx,Bangs Independent School District,https://www.schooldigger.com/go/TX/district/09390/search.aspx,Bangs,https://www.schooldigger.com/go/TX/city/Bangs/search.aspx,76823,Brown,(915) 752-6822,9,12,Yes,No,No,No,318,29,10.9,0.36,0.04,0,0,0.19,0,0.04,0.73,48.2
Rains High School,https://www.schooldigger.com/go/TX/schools/3636004081/school.aspx,Rains Independent School District,https://www.schooldigger.com/go/TX/district/36360/search.aspx,Emory,https://www.schooldigger.com/go/TX/city/Emory/search.aspx,75440,Rains,(903) 473-2222,9,12,Yes,No,No,Yes,489,42,11.6,0.52,0.03,0.02,0.01,0.13,0.01,0.04,0.77,48.2
Clear View High School,https://www.schooldigger.com/go/TX/schools/1428006666/school.aspx,Clear Creek Independent School District,https://www.schooldigger.com/go/TX/district/14280/search.aspx,Webster,https://www.schooldigger.com/go/TX/city/Webster/search.aspx,77598,Harris,(281) 284-1500,9,12,Yes,Yes,Yes,Yes,206,28,7.3,0.43,0.05,0,0.02,0.18,0,0.05,0.7,48.1
Clint High School,https://www.schooldigger.com/go/TX/schools/1443000932/school.aspx,Clint Independent School District,https://www.schooldigger.com/go/TX/district/14430/search.aspx,Clint,https://www.schooldigger.com/go/TX/city/Clint/search.aspx,79836,El Paso,(915) 926-8300,9,12,Yes,No,No,Yes,588,39,15,0.81,0,0,0,0.97,0,0,0.03,48.1
Jonesboro School,https://www.schooldigger.com/go/TX/schools/2490002779/school.aspx,Jonesboro Independent School District,https://www.schooldigger.com/go/TX/district/24900/search.aspx,Jonesboro,https://www.schooldigger.com/go/TX/city/Jonesboro/search.aspx,76538,Hamilton,(254) 463-2111,PK,12,Yes,No,No,No,190,16,11.8,0.48,0.01,0,0,0.12,0,0.02,0.85,48.1
Medina School,https://www.schooldigger.com/go/TX/schools/3003003372/school.aspx,Medina Independent School District,https://www.schooldigger.com/go/TX/district/30030/search.aspx,Medina,https://www.schooldigger.com/go/TX/city/Medina/search.aspx,78055,Bandera,(830) 589-2851,PK,12,Yes,No,No,Yes,269,29,9.2,0.61,0.02,0,0,0.25,0,0.03,0.71,48
Lee High School,https://www.schooldigger.com/go/TX/schools/3294003645/school.aspx,North East Independent School District,https://www.schooldigger.com/go/TX/district/32940/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78213,Bexar,(210) 356-0800,9,12,Yes,No,Yes,Yes,2556,178,14.3,0.62,0.04,0,0.01,0.8,0,0.02,0.13,48
Denton High School,https://www.schooldigger.com/go/TX/schools/1674000657/school.aspx,Denton Independent School District,https://www.schooldigger.com/go/TX/district/16740/search.aspx,Denton,https://www.schooldigger.com/go/TX/city/Denton/search.aspx,76201,Denton,(940) 369-2000,9,12,Yes,No,No,Yes,2166,141,15.3,0.4,0.16,0.01,0.03,0.31,0,0.02,0.47,48
Anson High School,https://www.schooldigger.com/go/TX/schools/0840000208/school.aspx,Anson Independent School District,https://www.schooldigger.com/go/TX/district/08400/search.aspx,Anson,https://www.schooldigger.com/go/TX/city/Anson/search.aspx,79501,Jones,(325) 823-2404,9,12,Yes,No,No,No,190,23,8.2,0.57,0.02,0,0.02,0.48,0,0.03,0.45,47.9
Tom Bean High School,https://www.schooldigger.com/go/TX/schools/4293004891/school.aspx,Tom Bean Independent School District,https://www.schooldigger.com/go/TX/district/42930/search.aspx,Tom Bean,https://www.schooldigger.com/go/TX/city/Tom+Bean/search.aspx,75489,Grayson,(903) 546-6319,9,12,Yes,No,No,No,222,17,13,0.41,0.02,0.02,0,0.07,0.01,0.05,0.84,47.9
Petrolia Junior High/High School,https://www.schooldigger.com/go/TX/schools/3471003896/school.aspx,Petrolia Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/34710/search.aspx,Petrolia,https://www.schooldigger.com/go/TX/city/Petrolia/search.aspx,76377,Clay,(940) 524-3264,7,12,Yes,No,No,Yes,223,22,10.1,0.4,0.01,0.02,0,0.1,0,0.04,0.83,47.8
Edgewood High School,https://www.schooldigger.com/go/TX/schools/1812001634/school.aspx,Edgewood Independent School District,https://www.schooldigger.com/go/TX/district/18120/search.aspx,Edgewood,https://www.schooldigger.com/go/TX/city/Edgewood/search.aspx,75117,Van Zandt,(903) 896-4332,9,12,Yes,No,No,Yes,300,28,10.7,0.4,0.04,0.01,0,0.09,0,0.05,0.8,47.7
MacArthur High School,https://www.schooldigger.com/go/TX/schools/2442002733/school.aspx,Irving Independent School District,https://www.schooldigger.com/go/TX/district/24420/search.aspx,Irving,https://www.schooldigger.com/go/TX/city/Irving/search.aspx,75062,Dallas,(972) 600-7200,9,12,Yes,No,No,Yes,2759,179,15.4,0.65,0.26,0.02,0.06,0.51,0,0.02,0.14,47.7
Brownwood High School,https://www.schooldigger.com/go/TX/schools/1170000672/school.aspx,Brownwood Independent School District,https://www.schooldigger.com/go/TX/district/11700/search.aspx,Brownwood,https://www.schooldigger.com/go/TX/city/Brownwood/search.aspx,76801,Brown,(325) 646-9549,9,12,Yes,No,No,Yes,865,66,13.1,0.59,0.05,0.01,0.01,0.38,0,0.03,0.53,47.6
Roosevelt High School,https://www.schooldigger.com/go/TX/schools/3780004233/school.aspx,Roosevelt Independent School District,https://www.schooldigger.com/go/TX/district/37800/search.aspx,Lubbock,https://www.schooldigger.com/go/TX/city/Lubbock/search.aspx,79403,Lubbock,(806) 842-3283,9,12,Yes,No,No,No,307,28,10.9,0.67,0.04,0.01,0,0.51,0,0,0.43,47.6
New Diana High School,https://www.schooldigger.com/go/TX/schools/3246003603/school.aspx,New Diana Independent School District,https://www.schooldigger.com/go/TX/district/32460/search.aspx,Diana,https://www.schooldigger.com/go/TX/city/Diana/search.aspx,75640,Upshur,(903) 663-8001,9,12,No,No,No,Yes,290,23,12.6,0.28,0.1,0,0,0.07,0,0.03,0.8,47.6
S And S Cons High School,https://www.schooldigger.com/go/TX/schools/3840004278/school.aspx,S And S Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/38400/search.aspx,Sadler,https://www.schooldigger.com/go/TX/city/Sadler/search.aspx,76264,Grayson,(903) 564-3768,9,12,Yes,No,No,Yes,268,26,10.3,0.4,0,0.03,0,0.09,0,0.05,0.83,47.5
Greenwood High School,https://www.schooldigger.com/go/TX/schools/2175002195/school.aspx,Greenwood Independent School District,https://www.schooldigger.com/go/TX/district/21750/search.aspx,Midland,https://www.schooldigger.com/go/TX/city/Midland/search.aspx,79706,Midland,(432) 685-7805,9,12,No,No,No,Yes,575,40,14.3,0.22,0.01,0,0,0.37,0,0.01,0.6,47.4
Chireno High School,https://www.schooldigger.com/go/TX/schools/1398000884/school.aspx,Chireno Independent School District,https://www.schooldigger.com/go/TX/district/13980/search.aspx,Chireno,https://www.schooldigger.com/go/TX/city/Chireno/search.aspx,75937,Nacogdoches,(936) 362-2132,9,12,Yes,No,No,Yes,105,10,10.5,0.51,0.03,0,0,0.12,0.01,0.02,0.82,47.4
Bowie High School,https://www.schooldigger.com/go/TX/schools/0870021493/school.aspx,Arlington Independent School District,https://www.schooldigger.com/go/TX/district/08700/search.aspx,Arlington,https://www.schooldigger.com/go/TX/city/Arlington/search.aspx,76018,Tarrant,(682) 867-4400,9,12,Yes,No,No,No,3053,195,15.6,0.6,0.37,0,0.16,0.34,0,0.01,0.12,47.4
Carl Wunsche Senior High School,https://www.schooldigger.com/go/TX/schools/4122011277/school.aspx,Spring Independent School District,https://www.schooldigger.com/go/TX/district/41220/search.aspx,Spring,https://www.schooldigger.com/go/TX/city/Spring/search.aspx,77373,Harris,(281) 891-7660,11,12,No,No,No,Yes,2,98,0,,0.5,0,0,0.5,0,0,0,47.4
Van High School,https://www.schooldigger.com/go/TX/schools/4392004985/school.aspx,Van Independent School District,https://www.schooldigger.com/go/TX/district/43920/search.aspx,Van,https://www.schooldigger.com/go/TX/city/Van/search.aspx,75790,Van Zandt,(903) 963-8623,9,12,Yes,No,No,No,725,49,14.7,0.46,0.03,0.01,0,0.16,0,0.01,0.79,47.3
Community High School,https://www.schooldigger.com/go/TX/schools/1485000987/school.aspx,Community Independent School District,https://www.schooldigger.com/go/TX/district/14850/search.aspx,Nevada,https://www.schooldigger.com/go/TX/city/Nevada/search.aspx,75173,Collin,(972) 843-8414,9,12,Yes,No,No,Yes,507,40,12.6,0.36,0.05,0.02,0,0.22,0,0.01,0.7,47.2
Burkburnett High School,https://www.schooldigger.com/go/TX/schools/1212000707/school.aspx,Burkburnett Independent School District,https://www.schooldigger.com/go/TX/district/12120/search.aspx,Burkburnett,https://www.schooldigger.com/go/TX/city/Burkburnett/search.aspx,76354,Wichita,(940) 569-1411,9,12,Yes,No,No,Yes,883,63,14,0.4,0.09,0.01,0.01,0.12,0.01,0.05,0.72,47.2
Lasara High School,https://www.schooldigger.com/go/TX/schools/2685011951/school.aspx,Lasara Independent School District,https://www.schooldigger.com/go/TX/district/26850/search.aspx,Lasara,https://www.schooldigger.com/go/TX/city/Lasara/search.aspx,78561,Willacy,(956) 642-3271,9,12,Yes,No,No,Yes,108,11,9.8,0.68,0,0,0,0.95,0.01,0,0.04,47.1
Sealy High School,https://www.schooldigger.com/go/TX/schools/3963004502/school.aspx,Sealy Independent School District,https://www.schooldigger.com/go/TX/district/39630/search.aspx,Sealy,https://www.schooldigger.com/go/TX/city/Sealy/search.aspx,77474,Austin,(979) 885-3515,9,12,Yes,No,No,No,854,62,13.7,0.52,0.12,0,0,0.43,0,0.01,0.43,47.1
Garrison High School,https://www.schooldigger.com/go/TX/schools/2040002056/school.aspx,Garrison Independent School District,https://www.schooldigger.com/go/TX/district/20400/search.aspx,Garrison,https://www.schooldigger.com/go/TX/city/Garrison/search.aspx,75946,Nacogdoches,(936) 347-7030,9,12,Yes,No,No,No,219,22,9.9,0.37,0.22,0.01,0,0.1,0,0.02,0.65,47.1
Orange Grove High School,https://www.schooldigger.com/go/TX/schools/3372003763/school.aspx,Orange Grove Independent School District,https://www.schooldigger.com/go/TX/district/33720/search.aspx,Orange Grove,https://www.schooldigger.com/go/TX/city/Orange+Grove/search.aspx,78372,Jim Wells,(361) 384-2330,9,12,Yes,No,No,Yes,552,41,13.4,0.45,0,0,0,0.56,0,0.01,0.43,47
Chico High School,https://www.schooldigger.com/go/TX/schools/1380000870/school.aspx,Chico Independent School District,https://www.schooldigger.com/go/TX/district/13800/search.aspx,Chico,https://www.schooldigger.com/go/TX/city/Chico/search.aspx,76431,Wise,(940) 644-5783,9,12,Yes,No,No,No,185,20,9.2,0.5,0.01,0.02,0,0.22,0,0.01,0.75,46.9
Hightower High School,https://www.schooldigger.com/go/TX/schools/1965007885/school.aspx,Fort Bend Independent School District,https://www.schooldigger.com/go/TX/district/19650/search.aspx,Missouri City,https://www.schooldigger.com/go/TX/city/Missouri+City/search.aspx,77459,Fort Bend,(281) 634-5240,9,12,Yes,No,No,Yes,2254,134,16.8,0.48,0.56,0,0.12,0.29,0,0.01,0.02,46.9
Lake Highlands High School,https://www.schooldigger.com/go/TX/schools/3702004138/school.aspx,Richardson Independent School District,https://www.schooldigger.com/go/TX/district/37020/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75238,Dallas,(469) 593-1000,10,12,Yes,No,No,Yes,1707,112,15.2,0.49,0.28,0,0.08,0.3,0,0.02,0.32,46.8
Sherman High School,https://www.schooldigger.com/go/TX/schools/4008004550/school.aspx,Sherman Independent School District,https://www.schooldigger.com/go/TX/district/40080/search.aspx,Sherman,https://www.schooldigger.com/go/TX/city/Sherman/search.aspx,75090,Grayson,(903) 891-6440,9,12,Yes,No,No,No,1780,119,14.9,0.57,0.14,0.02,0.02,0.35,0,0.05,0.44,46.7
Sierra Blanca School,https://www.schooldigger.com/go/TX/schools/4020004558/school.aspx,Sierra Blanca Independent School District,https://www.schooldigger.com/go/TX/district/40200/search.aspx,Sierra Blanca,https://www.schooldigger.com/go/TX/city/Sierra+Blanca/search.aspx,79851,Hudspeth,(915) 369-2781,KG,12,Yes,No,No,Yes,140,12,11.6,0.6,0.01,0.01,0.01,0.65,0,0.01,0.31,46.6
Plainview High School,https://www.schooldigger.com/go/TX/schools/3507021279/school.aspx,Plainview Independent School District,https://www.schooldigger.com/go/TX/district/35070/search.aspx,Plainview,https://www.schooldigger.com/go/TX/city/Plainview/search.aspx,79072,Hale,(806) 293-6005,9,12,Yes,No,No,Yes,1367,98,13.9,0.64,0.04,0.01,0,0.72,0,0.01,0.22,46.6
Jourdanton High School,https://www.schooldigger.com/go/TX/schools/2496002785/school.aspx,Jourdanton Independent School District,https://www.schooldigger.com/go/TX/district/24960/search.aspx,Jourdanton,https://www.schooldigger.com/go/TX/city/Jourdanton/search.aspx,78026,Atascosa,(830) 769-2350,9,12,Yes,No,No,No,488,43,11.3,0.47,0,0,0,0.55,0,0.01,0.43,46.6
Vidor High School,https://www.schooldigger.com/go/TX/schools/4416005025/school.aspx,Vidor Independent School District,https://www.schooldigger.com/go/TX/district/44160/search.aspx,Vidor,https://www.schooldigger.com/go/TX/city/Vidor/search.aspx,77662,Orange,(409) 951-8900,9,12,Yes,No,No,No,1340,90,14.8,0.39,0,0,0.01,0.07,0,0.02,0.9,46.6
La Porte High School,https://www.schooldigger.com/go/TX/schools/2619021038/school.aspx,La Porte Independent School District,https://www.schooldigger.com/go/TX/district/26190/search.aspx,La Porte,https://www.schooldigger.com/go/TX/city/La+Porte/search.aspx,77571,Harris,(281) 604-7500,9,12,Yes,No,No,No,2119,135,15.6,0.41,0.06,0.01,0.01,0.46,0,0.03,0.44,46.5
Copperas Cove High School,https://www.schooldigger.com/go/TX/schools/1524001030/school.aspx,Copperas Cove Independent School District,https://www.schooldigger.com/go/TX/district/15240/search.aspx,Copperas Cove,https://www.schooldigger.com/go/TX/city/Copperas+Cove/search.aspx,76522,Coryell,(254) 547-2534,9,12,Yes,No,No,Yes,2156,162,13.3,0.41,0.22,0.01,0.02,0.21,0.02,0.08,0.45,46.4
Wheeler School,https://www.schooldigger.com/go/TX/schools/4542005168/school.aspx,Wheeler Independent School District,https://www.schooldigger.com/go/TX/district/45420/search.aspx,Wheeler,https://www.schooldigger.com/go/TX/city/Wheeler/search.aspx,79096,Wheeler,(806) 826-5534,PK,12,Yes,No,No,Yes,487,43,11.3,0.45,0,0.01,0,0.61,0,0.01,0.37,46.4
Rio Vista High School,https://www.schooldigger.com/go/TX/schools/3720004187/school.aspx,Rio Vista Independent School District,https://www.schooldigger.com/go/TX/district/37200/search.aspx,Rio Vista,https://www.schooldigger.com/go/TX/city/Rio+Vista/search.aspx,76093,Johnson,(817) 373-2669,9,12,No,No,No,No,245,24,10.2,0.34,0,0.01,0,0.17,0,0,0.81,46.4
Mansfield Summit High School,https://www.schooldigger.com/go/TX/schools/2892009049/school.aspx,Mansfield Independent School District,https://www.schooldigger.com/go/TX/district/28920/search.aspx,Arlington,https://www.schooldigger.com/go/TX/city/Arlington/search.aspx,76001,Tarrant,(817) 299-7400,9,12,Yes,No,No,Yes,2020,115,17.5,0.52,0.39,0,0.08,0.24,0,0.04,0.25,46.3
Oglesby School,https://www.schooldigger.com/go/TX/schools/3342003751/school.aspx,Oglesby Independent School District,https://www.schooldigger.com/go/TX/district/33420/search.aspx,Oglesby,https://www.schooldigger.com/go/TX/city/Oglesby/search.aspx,76561,Coryell,(254) 456-2271,PK,12,Yes,No,No,Yes,184,18,10.2,0.66,0,0,0,0.29,0,0.03,0.69,46.3
Harmony School Of Ingenuity,https://www.schooldigger.com/go/TX/schools/0021012506/school.aspx,Harmony Science Academy,https://www.schooldigger.com/go/TX/district/00210/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77025,Harris,(713) 664-1020,6,12,Yes,Yes,No,Yes,589,46,12.8,0.73,0.36,0,0.02,0.57,0,0,0.04,46.2
Shelbyville School,https://www.schooldigger.com/go/TX/schools/3996004532/school.aspx,Shelbyville Independent School District,https://www.schooldigger.com/go/TX/district/39960/search.aspx,Shelbyville,https://www.schooldigger.com/go/TX/city/Shelbyville/search.aspx,75973,Shelby,(936) 598-7323,PK,12,Yes,No,No,No,832,64,13,0.61,0.2,0,0,0.13,0,0.03,0.64,46.2
